"cik_str","ticker","title"
101829,"RTX","RAYTHEON TECHNOLOGIES CORP"
1413329,"PM","Philip Morris International Inc."
796343,"ADBE","ADOBE INC."
1000275,"RY","ROYAL BANK OF CANADA"
936468,"LMT","LOCKHEED MARTIN CORP"
811809,"BHP","BHP Group Ltd"
64803,"CVS","CVS HEALTH Corp"
732717,"T","AT&T INC."
100885,"UNP","UNION PACIFIC CORP"
60667,"LOW","LOWES COMPANIES INC"
804328,"QCOM","QUALCOMM INC/DE"
51143,"IBM","INTERNATIONAL BUSINESS MACHINES CORP"
315189,"DE","DEERE & CO"
18230,"CAT","CATERPILLAR INC"
1140625,"EQNR","EQUINOR ASA"
886982,"GS","GOLDMAN SACHS GROUP INC"
947263,"TD","TORONTO DOMINION BANK"
1144967,"HDB","HDFC BANK LTD"
217410,"UL","UNILEVER PLC"
1065280,"NFLX","NETFLIX INC"
4962,"AXP","AMERICAN EXPRESS CO"
50863,"INTC","INTEL CORP"
1000184,"SAP","SAP SE"
1089113,"HSBC","HSBC HOLDINGS PLC"
313807,"BP","BP PLC"
1121404,"SNY","Sanofi"
1739940,"CI","Cigna Corp"
896878,"INTU","INTUIT INC"
1613103,"MDT","Medtronic plc"
1067839,"QQQ","INVESCO QQQ TRUST, SERIES 1"
1364742,"BLK","BlackRock Inc."
882095,"GILD","GILEAD SCIENCES, INC."
8670,"ADP","AUTOMATIC DATA PROCESSING INC"
12927,"BA","BOEING CO"
835403,"DEO","DIAGEO PLC"
863064,"RIO","RIO TINTO PLC"
313838,"SONY","Sony Group Corp"
1633917,"PYPL","PayPal Holdings, Inc."
887028,"RTNTF","RIO TINTO LTD"
1053507,"AMT","AMERICAN TOWER CORP /MA/"
40545,"GE","GENERAL ELECTRIC CO"
1668717,"BUD","Anheuser-Busch InBev SA/NV"
831001,"C","CITIGROUP INC"
896159,"CB","Chubb Ltd"
1378580,"EADSY","Airbus SE/ADR"
1303523,"BTI","British American Tobacco p.l.c."
1103982,"MDLZ","Mondelez International, Inc."
1274152,"CSLLY","CSL LTD"
821189,"EOG","EOG RESOURCES INC"
6951,"AMAT","APPLIED MATERIALS INC /DE"
1035267,"ISRG","INTUITIVE SURGICAL INC"
16868,"CNI","CANADIAN NATIONAL RAILWAY CO"
109198,"TJX","TJX COMPANIES INC /DE/"
1133421,"NOC","NORTHROP GRUMMAN CORP /DE/"
764180,"MO","ALTRIA GROUP, INC."
1065521,"SFTBY","SOFTBANK GROUP CORP"
62709,"MMC","MARSH & MCLENNAN COMPANIES, INC."
895728,"ENB","ENBRIDGE INC"
1045609,"PLD","Prologis, Inc."
1131399,"GSK","GSK PLC"
872589,"REGN","REGENERON PHARMACEUTICALS, INC."
1103838,"IBN","ICICI BANK LTD"
1067491,"INFY","Infosys Ltd"
1524684,"GLNCY","Glencore plc/ADR"
310764,"SYK","STRYKER CORP"
1737806,"PDD","Pinduoduo Inc."
875320,"VRTX","VERTEX PHARMACEUTICALS INC / MA"
6281,"ADI","ANALOG DEVICES INC"
1119639,"PBR","PETROBRAS - PETROLEO BRASILEIRO SA"
27419,"TGT","TARGET CORP"
2488,"AMD","ADVANCED MICRO DEVICES INC"
64040,"SPGI","S&P Global Inc."
87347,"SLB","SCHLUMBERGER LIMITED/NV"
1075531,"BKNG","Booking Holdings Inc."
1438656,"IDEXY","Industria de Diseno Textil Inditex SA / ADR"
80661,"PGR","PROGRESSIVE CORP/OH/"
1549802,"JD","JD.com, Inc."
1001250,"EL","ESTEE LAUDER COMPANIES INC"
1373715,"NOW","ServiceNow, Inc."
1510295,"MPC","Marathon Petroleum Corp"
66740,"MMM","3M CO"
16875,"CP","CANADIAN PACIFIC RAILWAY LTD/CN"
1326160,"DUK","Duke Energy CORP"
49071,"HUM","HUMANA INC"
1017413,"CNQ","CANADIAN NATURAL RESOURCES LTD"
40533,"GD","GENERAL DYNAMICS CORP"
917851,"VALE","Vale S.A."
797468,"OXY","OCCIDENTAL PETROLEUM CORP /DE/"
1463157,"PBCRY","PT Bank Central Asia Tbk / ADR"
92122,"SO","SOUTHERN CO"
49826,"ITW","ILLINOIS TOOL WORKS INC"
713676,"PNC","PNC FINANCIAL SERVICES GROUP, INC."
823768,"WM","WASTE MANAGEMENT INC"
1682852,"MRNA","Moderna, Inc."
277948,"CSX","CSX CORP"
1393818,"BX","Blackstone Inc."
860730,"HCA","HCA Healthcare, Inc."
36104,"USB","US BANCORP DE"
798354,"FISV","FISERV INC"
1001085,"BAM","BROOKFIELD ASSET MANAGEMENT INC."
67088,"MUFG","MITSUBISHI UFJ FINANCIAL GROUP INC"
1129137,"AMOV","AMERICA MOVIL SAB DE CV/"
1555280,"ZTS","Zoetis Inc."
723125,"MU","MICRON TECHNOLOGY INC"
1091667,"CHTR","CHARTER COMMUNICATIONS, INC. /MO/"
1038357,"PXD","PIONEER NATURAL RESOURCES CO"
315293,"AON","Aon plc"
1551182,"ETN","Eaton Corp plc"
1559720,"ABNB","Airbnb, Inc."
2969,"APD","Air Products & Chemicals, Inc."
707549,"LRCX","LAM RESEARCH CORP"
10795,"BDX","BECTON DICKINSON & CO"
1156375,"CME","CME GROUP INC."
21665,"CL","COLGATE PALMOLIVE CO"
927971,"BMO","BANK OF MONTREAL /CAN/"
1099219,"MET","METLIFE INC"
9631,"BNS","BANK OF NOVA SCOTIA"
885725,"BSX","BOSTON SCIENTIFIC CORP"
927653,"MCK","MCKESSON CORP"
92230,"TFC","TRUIST FINANCIAL CORP"
89800,"SHW","SHERWIN WILLIAMS CO"
1652044,"GOOGL","Alphabet Inc."
1350102,"ASTI","Ascent Solar Technologies, Inc."
29534,"DG","DOLLAR GENERAL CORP"
702165,"NSC","NORFOLK SOUTHERN CORP"
1610520,"UBS","UBS Group AG"
1467858,"GM","General Motors Co"
898173,"ORLY","O REILLY AUTOMOTIVE INC"
1051470,"CCI","CROWN CASTLE INC."
718877,"ATVI","Activision Blizzard, Inc."
1571949,"ICE","Intercontinental Exchange, Inc."
1132597,"ITUB","Itau Unibanco Holding S.A."
37996,"F","FORD MOTOR CO"
1061219,"EPD","ENTERPRISE PRODUCTS PARTNERS L.P."
1091587,"ABB","ABB LTD"
32604,"EMR","EMERSON ELECTRIC CO"
1035002,"VLO","VALERO ENERGY CORP/TX"
1418135,"KDP","Keurig Dr Pepper Inc."
1101239,"EQIX","EQUINIX INC"
1543151,"UBER","Uber Technologies, Inc"
7084,"ADM","Archer-Daniels-Midland Co"
30554,"CTA-PA","DUPONT E I DE NEMOURS & CO"
311337,"SU","SUNCOR ENERGY INC"
1075124,"TRI","THOMSON REUTERS CORP /CAN/"
831259,"FCX","FREEPORT-MCMORAN INC"
319201,"KLAC","KLA CORP"
865752,"MNST","Monster Beverage Corp"
929869,"RELX","RELX PLC"
866787,"AZO","AUTOZONE INC"
1648416,"RACE","Ferrari N.V."
1002242,"E","ENI SPA"
715957,"D","DOMINION ENERGY, INC"
1565025,"ABEV","AMBEV S.A."
1393311,"PSA","Public Storage"
1372920,"EDU","New Oriental Education & Technology Group Inc."
1059556,"MCO","MOODYS CORP /DE/"
1071739,"CNC","CENTENE CORP"
1048286,"MAR","MARRIOTT INTERNATIONAL INC /MD/"
1755672,"CTVA","Corteva, Inc."
1090012,"DVN","DEVON ENERGY CORP/DE"
1096200,"ENLAY","ENEL SOCIETA PER AZIONI"
1032208,"SRE","SEMPRA ENERGY"
40704,"GIS","GENERAL MILLS INC"
47111,"HSY","HERSHEY CO"
1099590,"MELI","MERCADOLIBRE INC"
1124610,"VMW","VMWARE, INC."
899108,"PRNDY","PERNOD RICARD S A /FI"
4904,"AEP","AMERICAN ELECTRIC POWER CO INC"
1637459,"KHC","Kraft Heinz Co"
202058,"LHX","L3HARRIS TECHNOLOGIES, INC. /DE/"
1534701,"PSX","Phillips 66"
4447,"HES","HESS CORP"
833444,"JCI","Johnson Controls International plc"
16918,"STZ","CONSTELLATION BRANDS, INC."
1018724,"AMZN","AMAZON COM INC"
891478,"SAN","Banco Santander, S.A."
86312,"TRV","TRAVELERS COMPANIES, INC."
820313,"APH","AMPHENOL CORP /DE/"
927628,"COF","CAPITAL ONE FINANCIAL CORP"
1471055,"BSBR","Banco Santander (Brasil) S.A."
883241,"SNPS","SYNOPSYS INC"
723254,"CTAS","CINTAS CORP"
1725964,"NTR","Nutrien Ltd."
5272,"AIG","AMERICAN INTERNATIONAL GROUP, INC."
3570,"LNG","Cheniere Energy, Inc."
882835,"ROP","ROPER TECHNOLOGIES INC"
1232384,"TRP","TC ENERGY CORP"
1099800,"EW","Edwards Lifesciences Corp"
1413447,"NXPI","NXP Semiconductors N.V."
68505,"MSI","Motorola Solutions, Inc."
1605484,"STLA","Stellantis N.V."
1475260,"CVE","CENOVUS ENERGY INC."
4977,"AFL","AFLAC INC"
769397,"ADSK","Autodesk, Inc."
96021,"SYY","SYSCO CORP"
1110646,"NTES","NetEase, Inc."
1397187,"LULU","lululemon athletica inc."
1048911,"FDX","FEDEX CORP"
723531,"PAYX","PAYCHEX INC"
875045,"BIIB","BIOGEN INC."
1060391,"RSG","REPUBLIC SERVICES, INC."
55785,"KMB","KIMBERLY CLARK CORP"
1001838,"SCCO","SOUTHERN COPPER CORP/"
1395064,"TAK","TAKEDA PHARMACEUTICAL CO LTD"
1039765,"ING","ING GROEP NV"
718940,"BCE","BCE INC"
1506307,"KMI","KINDER MORGAN, INC."
1222333,"GLD","SPDR GOLD TRUST"
813672,"CDNS","CADENCE DESIGN SYSTEMS INC"
107263,"WMB","WILLIAMS COMPANIES, INC."
1090872,"A","AGILENT TECHNOLOGIES, INC."
1004315,"NGG","NATIONAL GRID PLC"
715153,"HMC","HONDA MOTOR CO LTD"
354190,"AJG","Arthur J. Gallagher & Co."
31462,"ECL","ECOLAB INC."
1466258,"TT","Trane Technologies plc"
1022837,"SMFG","SUMITOMO MITSUI FINANCIAL GROUP, INC."
1478242,"IQV","IQVIA HOLDINGS INC."
1596532,"ANET","Arista Networks, Inc."
1640147,"SNOW","Snowflake Inc."
49938,"IMO","IMPERIAL OIL LTD"
1058090,"CMG","CHIPOTLE MEXICAN GRILL INC"
1137774,"PRU","PRUDENTIAL FINANCIAL INC"
1276187,"ET","Energy Transfer LP"
1776985,"BNTX","BioNTech SE"
1408198,"MSCI","MSCI Inc."
76334,"PH","PARKER HANNIFIN CORP"
73309,"NUE","NUCOR CORP"
1858681,"APO","Apollo Global Management, Inc."
1385157,"TEL","TE Connectivity Ltd."
1136893,"FIS","Fidelity National Information Services, Inc."
1063761,"SPG","SIMON PROPERTY GROUP INC /DE/"
1463101,"ENPH","Enphase Energy, Inc."
827054,"MCHP","MICROCHIP TECHNOLOGY INC"
899051,"ALL","ALLSTATE CORP"
1107457,"IFNNY","INFINEON TECHNOLOGIES AG"
1109357,"EXC","EXELON CORP"
1318220,"WCN","Waste Connections, Inc."
1751788,"DOW","DOW INC."
712515,"EA","ELECTRONIC ARTS INC."
1585689,"HLT","Hilton Worldwide Holdings Inc."
935703,"DLTR","DOLLAR TREE, INC."
1783180,"CARR","CARRIER GLOBAL Corp"
1041061,"YUM","YUM BRANDS INC"
726728,"O","REALTY INCOME CORP"
820027,"AMP","AMERIPRISE FINANCIAL INC"
915913,"ALB","ALBEMARLE CORP"
72903,"XEL","XCEL ENERGY INC"
1390777,"BK","Bank of New York Mellon Corp"
45012,"HAL","HALLIBURTON CO"
842180,"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
1327811,"WDAY","Workday, Inc."
75362,"PCAR","PACCAR INC"
1164727,"NEM","NEWMONT Corp /DE/"
1160106,"LYG","Lloyds Banking Group plc"
1160330,"BBD","BANK BRADESCO"
1552000,"MPLX","MPLX LP"
56873,"KR","KROGER CO"
1666700,"DD","DuPont de Nemours, Inc."
26172,"CMI","CUMMINS INC"
1110803,"ILMN","ILLUMINA, INC."
1445166,"WEGZY","Weg SA"
839923,"VOD","VODAFONE GROUP PUBLIC LTD CO"
1004980,"PCG","PG&E Corp"
1835632,"MRVL","Marvell Technology, Inc."
1381197,"IBKR","Interactive Brokers Group, Inc."
878927,"ODFL","OLD DOMINION FREIGHT LINE, INC."
1140859,"ABC","AMERISOURCEBERGEN CORP"
1618921,"WBA","Walgreens Boots Alliance, Inc."
1260221,"TDG","TransDigm Group INC"
1086888,"MFC","MANULIFE FINANCIAL CORP"
745732,"ROST","ROSS STORES, INC."
1709048,"GFS","GLOBALFOUNDRIES Inc."
874716,"IDXX","IDEXX LABORATORIES INC /DE"
1057352,"CSGP","COSTAR GROUP, INC."
1048515,"DANOY","GROUPE DANONE"
1037868,"AME","AMETEK INC/"
1278680,"IAU","ISHARES GOLD TRUST"
844150,"NWG","NatWest Group plc"
14693,"BF-B","BROWN FORMAN CORP"
47217,"HPQ","HP INC"
1047862,"ED","CONSOLIDATED EDISON INC"
943819,"RMD","RESMED INC"
1781335,"OTIS","Otis Worldwide Corp"
1300514,"LVS","LAS VEGAS SANDS CORP"
1037646,"MTD","METTLER TOLEDO INTERNATIONAL INC/"
1650372,"TEAM","Atlassian Corp"
277135,"GWW","W.W. GRAINGER, INC."
1571996,"DELL","Dell Technologies Inc."
1404912,"KKR","KKR & Co. Inc."
1834584,"CPNG","Coupang, Inc."
909037,"SQM","CHEMICAL & MINING CO OF CHILE INC"
932787,"STM","STMicroelectronics N.V."
1461748,"PPERY","PT Bank Mandiri (Persero) Tbk / ADR"
1034054,"SBAC","SBA COMMUNICATIONS CORP"
312069,"BCS","BARCLAYS PLC"
1329099,"BIDU","Baidu, Inc."
1393612,"DFS","Discover Financial Services"
1601046,"KEYS","Keysight Technologies, Inc."
1539838,"FANG","Diamondback Energy, Inc."
1024478,"ROK","ROCKWELL AUTOMATION, INC"
948696,"HCMLY","LafargeHolcim Ltd/ADR"
1376891,"EXPGY","Experian Group LTD"
788784,"PEG","PUBLIC SERVICE ENTERPRISE GROUP INC"
1535527,"CRWD","CrowdStrike Holdings, Inc."
1123360,"GPN","GLOBAL PAYMENTS INC"
766704,"WELL","WELLTOWER INC."
1097864,"ON","ON SEMICONDUCTOR CORP"
868675,"TU","TELUS CORP"
783325,"WEC","WEC ENERGY GROUP, INC."
1512673,"SQ","Block, Inc."
1116578,"PUK","PRUDENTIAL PLC"
895564,"BAESY","BAE SYSTEMS PLC /FI/"
815556,"FAST","FASTENAL CO"
849395,"CRH","CRH PUBLIC LTD CO"
1167379,"ALC","ALCON INC"
1058290,"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS CORP"
24741,"GLW","CORNING INC /NY"
1489393,"LYB","LyondellBasell Industries N.V."
1874178,"RIVN","Rivian Automotive, Inc. / DE"
1039684,"OKE","ONEOK INC /NEW/"
1297996,"DLR","DIGITAL REALTY TRUST, INC."
1498632,"DNBBY","DnB NOR ASA"
93751,"STT","STATE STREET CORP"
756894,"GOLD","BARRICK GOLD CORP"
1335730,"MFG","MIZUHO FINANCIAL GROUP INC"
79879,"PPG","PPG INDUSTRIES INC"
1043219,"NLY","ANNALY CAPITAL MANAGEMENT INC"
1442145,"VRSK","Verisk Analytics, Inc."
1521332,"APTV","Aptiv PLC"
1535628,"CAIXY","CaixaBank/ADR"
1383650,"CQP","Cheniere Energy Partners, L.P."
732834,"CLR","CONTINENTAL RESOURCES, INC"
1061736,"FMX","MEXICAN ECONOMIC DEVELOPMENT INC"
1041130,"DIA","SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST"
1701605,"BKR","Baker Hughes Co"
749251,"IT","GARTNER INC"
1393052,"VEEV","VEEVA SYSTEMS INC"
1001807,"TLK","PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK"
1123799,"WIT","WIPRO LTD"
10456,"BAX","BAXTER INTERNATIONAL INC"
1434265,"GMAB","GENMAB A/S"
1703399,"SE","Sea Ltd"
1097362,"SLF","SUN LIFE FINANCIAL INC"
72741,"ES","EVERSOURCE ENERGY"
882184,"DHI","HORTON D R INC /DE/"
1132924,"CHT","CHUNGHWA TELECOM CO LTD"
1065088,"EBAY","EBAY INC"
1038143,"ORAN","ORANGE"
48465,"HRL","HORMEL FOODS CORP /DE/"
40987,"GPC","GENUINE PARTS CO"
1456346,"FNV","FRANCO NEVADA Corp"
101778,"MRO","MARATHON OIL CORP"
908937,"SIRI","SIRIUS XM HOLDINGS INC."
1410636,"AWK","American Water Works Company, Inc."
720005,"RJF","RAYMOND JAMES FINANCIAL INC"
924613,"NOK","NOKIA CORP"
874766,"HIG","HARTFORD FINANCIAL SERVICES GROUP, INC."
1113169,"TROW","PRICE T ROWE GROUP INC"
1832433,"FERG","Ferguson plc"
100493,"TSN","TYSON FOODS, INC."
936958,"MDY","SPDR S&P MIDCAP 400 ETF TRUST"
1178670,"ALNY","ALNYLAM PHARMACEUTICALS, INC."
55067,"K","KELLOGG CO"
1060736,"SGEN","Seagen Inc."
1126328,"PFG","PRINCIPAL FINANCIAL GROUP INC"
35527,"FITB","FIFTH THIRD BANCORP"
1138118,"CBRE","CBRE GROUP, INC."
1402057,"CDW","CDW Corp"
1067701,"URI","UNITED RENTALS, INC."
858470,"CTRA","Coterra Energy Inc."
916365,"TSCO","TRACTOR SUPPLY CO /DE/"
920760,"LEN","LENNAR CORP /NEW/"
1691493,"NU","Nu Holdings Ltd."
1585521,"ZM","Zoom Video Communications, Inc."
1324404,"CF","CF Industries Holdings, Inc."
51253,"IFF","INTERNATIONAL FLAVORS & FRAGRANCES INC"
106535,"WY","WEYERHAEUSER CO"
1659166,"FTV","Fortive Corp"
16988,"CAJ","CANON INC"
1403568,"ULTA","Ulta Beauty, Inc."
1396009,"VMC","Vulcan Materials CO"
1650107,"CCEP","COCA-COLA EUROPACIFIC PARTNERS plc"
1330306,"VWDRY","VESTAS WIND SYSTEMS A/S"
49196,"HBAN","HUNTINGTON BANCSHARES INC /MD/"
1315098,"RBLX","Roblox Corp"
721371,"CAH","CARDINAL HEALTH INC"
1035443,"ARE","ALEXANDRIA REAL ESTATE EQUITIES, INC."
920148,"LH","LABORATORY CORP OF AMERICA HOLDINGS"
906107,"EQR","EQUITY RESIDENTIAL"
915912,"AVB","AVALONBAY COMMUNITIES INC"
1243429,"MT","ArcelorMittal"
1671933,"TTD","Trade Desk, Inc."
1811210,"LCID","Lucid Group, Inc."
1136869,"ZBH","ZIMMER BIOMET HOLDINGS, INC."
1012037,"CODYY","COMPAGNIE DE SAINT GOBAIN"
92380,"LUV","SOUTHWEST AIRLINES CO"
827052,"EIX","EDISON INTERNATIONAL"
1561550,"DDOG","Datadog, Inc."
36270,"MTB","M&T BANK CORP"
1281761,"RF","REGIONS FINANCIAL CORP"
65984,"ETR","ENTERGY CORP /DE/"
63754,"MKC","MCCORMICK & CO INC"
1397911,"LPLA","LPL Financial Holdings Inc."
936340,"DTE","DTE ENERGY CO"
1673358,"YUMC","Yum China Holdings, Inc."
27904,"DAL","DELTA AIR LINES, INC."
733099,"RCI","ROGERS COMMUNICATIONS INC"
1031296,"FE","FIRSTENERGY CORP"
916076,"MLM","MARTIN MARIETTA MATERIALS INC"
947484,"ACGL","ARCH CAPITAL GROUP LTD."
1699150,"IR","Ingersoll Rand Inc."
1002910,"AEE","AMEREN CORP"
814052,"TEF","TELEFONICA S A"
1041792,"ELP","ENERGY CO OF PARANA"
1339422,"RDSMY","Royal DSM N.V."
1050915,"PWR","QUANTA SERVICES, INC."
850918,"GWLIF","GREAT-WEST LIFECO INC."
1444406,"EC","ECOPETROL S.A."
1145197,"PODD","INSULET CORP"
926042,"TTM","TATA MOTORS LTD/FI"
1045520,"CM","CANADIAN IMPERIAL BANK OF COMMERCE /CAN/"
1811074,"TPL","Texas Pacific Land Corp"
2809,"AEM","AGNICO EAGLE MINES LTD"
1159508,"DB","DEUTSCHE BANK AKTIENGESELLSCHAFT"
84839,"ROL","ROLLINS INC"
1289490,"EXR","Extra Space Storage Inc."
33185,"EFX","EQUIFAX INC"
1637120,"CKHUY","CK Hutchison Holdings Limited/ADR"
1132979,"FRC","FIRST REPUBLIC BANK"
922224,"PPL","PPL Corp"
885834,"TSCDY","TESCO PLC /FI"
1651308,"BGNE","BeiGene, Ltd."
1014473,"VRSN","VERISIGN INC/CA"
1705696,"VICI","VICI PROPERTIES INC."
46619,"HEI","HEICO CORP"
1013462,"ANSS","ANSYS INC"
63271,"PCRFY","PANASONIC Corp"
1601712,"SYF","Synchrony Financial"
1285785,"MOS","MOSAIC CO"
1179929,"MOH","MOLINA HEALTHCARE, INC."
1061574,"GIB","CGI INC"
1524472,"XYL","Xylem Inc."
1190723,"TS","TENARIS SA"
1567094,"CNHI","CNH Industrial N.V."
1022671,"STLD","STEEL DYNAMICS INC"
1618756,"QSR","Restaurant Brands International Inc."
1000697,"WAT","WATERS CORP /DE/"
1791706,"LI","Li Auto Inc."
1094285,"TDY","TELEDYNE TECHNOLOGIES INC"
29905,"DOV","DOVER Corp"
717826,"ERIC","ERICSSON LM TELEPHONE CO"
1546066,"PBA","PEMBINA PIPELINE CORP"
1697862,"ARGX","ARGENX SE"
1792789,"DASH","DoorDash, Inc."
728535,"JBHT","HUNT J B TRANSPORT SERVICES INC"
1645590,"HPE","Hewlett Packard Enterprise Co"
1666175,"FTS","Fortis Inc."
859737,"HOLX","HOLOGIC INC"
1802768,"RPRX","Royalty Pharma plc"
943452,"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP"
1590955,"PAYC","Paycom Software, Inc."
886986,"TECK","TECK RESOURCES LTD"
313927,"CHD","CHURCH & DWIGHT CO INC /DE/"
940944,"DRI","DARDEN RESTAURANTS INC"
1352010,"EPAM","EPAM Systems, Inc."
1687229,"INVH","Invitation Homes Inc."
1022079,"DGX","QUEST DIAGNOSTICS INC"
1700171,"ANYYY","Aena S.A./ADR"
1511737,"UI","Ubiquiti Inc."
73124,"NTRS","NORTHERN TRUST CORP"
874761,"AES","AES CORP"
1130310,"CNP","CENTERPOINT ENERGY INC"
746515,"EXPD","EXPEDITORS INTERNATIONAL OF WASHINGTON INC"
912595,"MAA","MID AMERICA APARTMENT COMMUNITIES INC."
21076,"CLX","CLOROX CO /DE/"
1450346,"POAHY","Porsche Automobil Holding SE / ADR"
1492426,"HZNP","Horizon Therapeutics Public Ltd Co"
1447629,"LNNGY","Li Ning Co. Ltd."
1269238,"TCOM","Trip.com Group Ltd"
1748790,"AMCR","Amcor plc"
1070304,"IX","ORIX CORP"
759944,"CFG","CITIZENS FINANCIAL GROUP INC/RI"
23217,"CAG","CONAGRA BRANDS INC."
832101,"IEX","IDEX CORP /DE/"
91576,"KEY","KEYCORP /NEW/"
1015922,"CHKP","CHECK POINT SOFTWARE TECHNOLOGIES LTD"
879169,"INCY","INCYTE CORP"
815094,"ABMD","ABIOMED INC"
740260,"VTR","Ventas, Inc."
749098,"MGA","MAGNA INTERNATIONAL INC"
1455967,"PTAIY","PT Astra International Tbk / ADR"
1713683,"ZS","Zscaler, Inc."
1736541,"NIO","NIO Inc."
1121788,"GRMN","GARMIN LTD"
1096343,"MKL","MARKEL CORP"
105770,"WST","WEST PHARMACEUTICAL SERVICES INC"
20286,"CINF","CINCINNATI FINANCIAL CORP"
33213,"EQT","EQT Corp"
764478,"BBY","BEST BUY CO INC"
1564408,"SNAP","Snap Inc"
1389170,"TRGP","Targa Resources Corp."
811156,"CMS","CMS ENERGY CORP"
1038683,"RYAAY","RYANAIR HOLDINGS PLC"
1011218,"SWMAY","SWEDISH MATCH CORP"
1280452,"MPWR","MONOLITHIC POWER SYSTEMS INC"
1335258,"LYV","Live Nation Entertainment, Inc."
1757898,"STE","STERIS plc"
91419,"SJM","J M SMUCKER Co"
789570,"MGM","MGM Resorts International"
1754301,"FOXA","Fox Corp"
37785,"FMC","FMC CORP"
1323404,"WPM","Wheaton Precious Metals Corp."
1677250,"ZTO","ZTO Express (Cayman) Inc."
31791,"PKI","PERKINELMER INC"
1013237,"FDS","FACTSET RESEARCH SYSTEMS INC"
1033767,"UMC","UNITED MICROELECTRONICS CORP"
1560385,"LSXMA","Liberty Media Corp"
79282,"BRO","BROWN & BROWN, INC."
1383312,"BR","BROADRIDGE FINANCIAL SOLUTIONS, INC."
1060955,"ICLR","ICON PLC"
939383,"TSGTY","TSINGTAO BREWERY CO LTD /FI"
29989,"OMC","OMNICOM GROUP INC."
4281,"HWM","Howmet Aerospace Inc."
1274494,"FSLR","FIRST SOLAR, INC."
912593,"SUI","SUN COMMUNITIES INC"
16732,"CPB","CAMPBELL SOUP CO"
1041668,"ZNH","CHINA SOUTHERN AIRLINES CO LTD"
52988,"J","JACOBS SOLUTIONS INC."
1002047,"NTAP","NetApp, Inc."
1065696,"LKQ","LKQ CORP"
1437771,"SNMRY","Snam Rete Gas SpA"
1634997,"AGR","Avangrid, Inc."
1336920,"LDOS","Leidos Holdings, Inc."
1327567,"PANW","Palo Alto Networks Inc"
217346,"TXT","TEXTRON INC"
1669414,"SMPNY","Sompo Japan Nipponkoa Holdings, Inc./ADR"
1897982,"AZPN","Aspen Technology, Inc."
813762,"IEP","ICAHN ENTERPRISES L.P."
889132,"PKX","POSCO HOLDINGS INC."
1048477,"BMRN","BIOMARIN PHARMACEUTICAL INC"
